NOME	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
ANDREA	3.9146177036465	3.8643484223465	3.5754571742461	3.4850119087499	3.4710265446526	3.2263964461452	3.1118365252347	3.0995748993553	2.9214874298745	2.9370366574425	2.7557580675364	2.8352728724852	2.951313220843	2.8601671226137	2.647906914956	2.4641770749	2.4469596112058	2.3192275063626	2.280528095232	2.2120888716406	2.202725493219	1.9473478770005	1.8841768197438
FRANCESCO	3.5957217955127	3.7884839134415	3.7782782985071	3.7857676634186	3.7981639277001	3.6621868306186	3.6289316693157	3.5204526899581	3.5143188908631	3.4696457244372	3.2107164901622	3.1625148866845	3.1150308939278	2.9734705895507	4.1232642280552	4.0542983580013	3.5460074537781	3.2644676214715	3.0891257118616	2.8749217213368	2.7778167089459	2.6128483516695	2.4035457669478
ALESSANDRO	3.4086260964414	3.3650286497941	3.1955349958297	3.3977669713491	3.3424428700169	3.3568873522305	3.3449035302167	3.3075504631063	3.2593488996768	3.1590994499675	3.1701447405835	2.9904124450915	2.9608359490314	2.9537170245913	2.8268565043096	2.7274942423933	2.7144377496227	2.7712627043931	2.5654869797358	2.4960970920028	2.442852938291	2.4138246760444	2.4284403311465
MATTEO	3.2961414352588	3.5780328478734	3.5460628084112	3.286962219629	3.1259387340919	3.093795175002	2.9949466511764	2.9401621575969	2.8550343457519	2.890574288545	2.812974637455	2.5688144721544	2.6700264805095	2.5157842165289	2.322828184951	2.2613835548604	1.9994092010861	1.8821631152586	1.744891094285	1.6383393457227	1.591661878133	1.4408735838237	1.3994650109341
LUCA	2.9537638806829	2.8376244196183	2.5804578907338	2.3268997861211	2.5628814465847	2.4983205011414	2.1428622338795	2.0635680301793	1.9893954867863	1.8222814389669	1.693610469592	1.5708323467776	1.4492859785153	1.3920672664793	1.2467863310646	1.1428751090605	1.0476564301987	1.0408869371392	0.93329391045006	0.86260881836704	0.77644321733402	0.76718085132016	0.68338019368947
LORENZO	2.8401430108016	2.9368318543401	3.0276196809976	3.115785443716	2.9024742283148	2.8729102989332	2.9161885348139	2.7540046732919	2.7599015095343	2.6319565440197	2.674614568379	2.7373829827085	2.8392380352414	2.7136925748958	2.6361853261337	2.6194163005117	2.5853522335032	2.632782740323	2.4806420787858	2.4546424759872	2.4592040289087	2.3328658927393	2.2658934707904
MARCO	2.6519111030314	2.5582387762471	2.3827807804939	2.186645266502	2.0947049902188	2.0326332783466	1.8909075358332	1.7697277666732	1.7029477189104	1.6347237880496	1.5663469474093	1.4959130087535	1.3910508330556	1.3935581015706	1.2932819667263	1.2246213341927	1.194142188303	1.0458772061147	1.0485629930539	0.9675683780661	0.89977715799358	0.79223952234318	0.7522063417682
DAVIDE	2.4307291429957	2.3554471082127	2.1457887059498	2.1089715036683	2.1562493131214	2.0994615051827	2.0737261498329	1.991779510712	1.9817009191511	1.9076902053227	1.8101242119718	1.8623816574843	1.8364215052503	1.7230326567427	1.5921824816948	1.5001218333163	1.4276291563311	1.3482043348803	1.2045404877296	1.1788105171243	1.1394374290479	0.97825196493714	0.93964776632302
SIMONE	2.4159584299111	2.3368457142023	2.2861468028116	2.082834834658	1.9379135009195	2.1363928936974	2.014212098102	2.0741251653951	1.7529624085396	1.5421406853199	1.3985116756479	1.3170960981867	1.2841032703246	1.2489470977168	1.1283982839594	1.0454084560182	1.0007162425189	0.91862534723955	0.83559372147733	0.82424124822495	0.74327386208089	0.66357288459036	0.56915807560137
GIUSEPPE	2.086836643488	2.058189537263	1.9444372999805	1.8107926036908	1.8199535486896	1.7537133631833	1.6895576003364	1.6022212212494	1.5301697001917	1.5158347852824	1.5115577471236	1.4464379742094	1.4038698902322	1.4021304033454	1.4390203877502	1.4187686188818	1.4207499908952	1.3818886504649	1.3583754344016	1.4187180821507	1.3819007442082	1.3637699806759	1.3374726647923
ANTONIO	1.8720931994122	1.8036057525723	1.7456579010218	1.6278359206182	1.6316572274283	1.5374009447401	1.5245575646993	1.5251541341742	1.4616180976231	1.4027535786273	1.3617543640638	1.328758070615	1.339042086796	1.2869633925443	1.3233673780369	1.3244460514215	1.3078507463894	1.3124407405559	1.3288082719493	1.2974412799774	1.3309787762844	1.252933551151	1.2681583880037
RICCARDO	1.7550637034344	1.8510210706379	1.7761545555756	1.7596236319663	1.7836863584078	1.7255751624102	1.7326785599738	1.6894935390332	1.9558191916507	2.0248710327628	2.0799090083155	1.9160974092752	1.8155447549912	1.8914970220569	1.8445873610015	1.7815174929062	1.7606616947836	1.699602441905	1.858017628885	1.9651252017605	1.9509186977057	1.9396375166857	1.9486098094346
MATTIA	1.7031768395219	1.9578879028934	1.89556916678	2.0566981656476	2.2141302834702	2.225731681152	2.2765015715986	2.0973508628699	2.1030652359434	2.2281438966896	2.2283253230135	2.3829296995098	2.3374635114694	2.4725499988819	2.45723573678	2.386753967443	2.5906127717776	2.4606184606684	2.4489323683297	2.4140698730783	2.2022583192013	2.2702192151817	2.0574625117151
