NOME	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
MARTINA	3.5035802572673	3.3376555514699	3.1269090838343	3.5445180336484	3.481610530391	3.1648599601424	2.886601068999	2.6735013122968	2.8675469920978	2.6406553524898	2.5676674721661	2.2355644003703	2.2084356655376	2.033926381094	1.8461487652435	1.7775630560091	1.6052734282859	1.5503978023232	1.4205873940462	1.2886284843897	1.2728371348146	1.0734925586866	1.0624149528871
ALESSIA	3.3909608987185	3.6055040544987	3.1701005856145	2.8872384985742	2.6236933797909	2.4875769597601	2.3426111516035	2.1825567199674	1.9364192929956	1.800561504168	1.8254309789945	1.5380982898776	1.4762996674931	1.2869307313379	1.2075100935459	1.1145170426149	1.0524555150985	0.97859810336278	0.89620949691502	0.85270013923542	0.78698768428137	0.64900526773385	0.56535469460063
GIULIA	3.3590121445202	3.2455342455149	3.1393606879511	3.4050248460165	4.3159117305459	4.5446617110581	4.1173165694849	3.8204076146813	3.5861951326236	3.4684955796864	3.3099039653378	3.2043714372449	3.2311757242792	3.2317224678465	3.0189816458466	2.8025355679206	2.6684507803353	2.6738108716544	2.7889640017979	2.7646173829348	2.631152332716	2.5632895207896	2.3702790829033
CHIARA	3.1309779114301	3.3562346383852	3.1950037938481	2.9073317001167	2.9167634533488	2.800054924868	2.6740160349854	2.4909371254914	2.3150259759042	2.3274672125535	2.0288287890658	1.871277963294	1.6516708763517	1.7475911953902	1.6133160497701	1.6251291107187	1.5079191487719	1.3990003379016	1.3202518829934	1.2671357685515	1.2512219924249	1.1496956988697	1.19130144548
SARA	2.8697968458592	2.8739525072091	3.2117356368801	3.1117413850398	2.8912117692605	2.7826125681458	2.8262421039845	2.7313693060694	2.6936326588127	2.565692023253	2.3705223976666	2.2869092994232	1.9259793822433	1.7574512224462	1.6058852184252	1.5684869889714	1.374539497103	1.3059676930976	1.2058421599829	1.1624755870782	1.1564101178517	0.99882370991664	0.84777529589977
FRANCESCA	2.7979121489131	2.70596659635	2.7070565575206	2.4645084507369	2.3325590398761	2.1264830642139	2.071185617104	1.856629245364	1.7350643186378	1.578194320807	1.4557839643079	1.2877450594589	1.299376501034	1.1157606616473	1.3387881139724	1.2990204244827	1.1086379407211	0.99264076672942	0.92208788664357	0.82887125863213	0.81891914462987	0.75180279241037	0.6469999229762
FEDERICA	2.0247522973151	1.9148071452072	1.6934181598864	1.5464037033316	1.3646922183508	1.1909047387543	1.0970906219631	0.97703574001964	0.98304242545602	0.84297705329244	0.84559053409396	0.6869722625111	0.60953134760358	0.51705981881214	0.41860349909592	0.39232999033752	0.35296287242301	0.32605309004419	0.29873649897167	0.2621176866362	0.25152165689891	0.21377793688948	0.16842537677476
GIORGIA	1.6932839725081	1.834684832885	1.8233817778556	1.8450968724159	2.1595044521874	1.966161827959	1.9831146744412	2.1179685720793	1.9608933782767	2.079511585078	2.1064362717512	2.1467414728116	2.0295725520779	2.100580163992	1.8725694989143	1.8750208243095	1.7579523864665	1.6021801234877	1.5772197529295	1.5189743302216	1.5012698896154	1.3813737022452	1.2113276335721
ANNA	1.4137323732733	1.4178165702231	1.4066421525711	1.3984095458164	1.3615950445219	1.3538237728189	1.3396653304179	1.3470175582693	1.3979894168122	1.3875423921231	1.365303202504	1.3623263361854	1.3288636954438	1.2960019562294	1.2875979424854	1.3606603805018	1.4247176940331	1.3700373447079	1.3411361975111	1.2904974162018	1.3136111534135	1.2632332634378	1.1764101774115
ELISA	1.3206816266708	1.3578216020592	1.3716220159925	1.4625532276637	1.3561749903213	1.7631624848307	1.5177052964043	1.4033921844608	1.4135638347183	1.303569047353	1.194640302191	1.2079168587416	1.089862224964	0.99389072723616	0.89087411346054	0.88503315230067	0.79384480784324	0.81754630787662	0.71460676197784	0.62609215702765	0.64157672638669	0.59377077686289	0.5576523145652
VALENTINA	1.317486751251	1.2463470805674	1.1976886709858	1.1028076385078	0.9922570654278	0.91887819668298	0.91449526239067	0.81911211830458	0.79837432742618	0.73161326130126	0.65506600314108	0.59065372925123	0.52300971137468	0.51272140690754	0.45162941618435	0.41190484123546	0.35810935415943	0.3089385940661	0.25242780156269	0.22660798220777	0.20337883975811	0.17746637344653	0.14223728465429
ALICE	1.3031098118618	1.4743279595905	1.3474970330162	1.5151046778519	1.8590785907859	1.7512868377007	1.5833788872692	1.4761938540457	1.5144267316342	1.5583722866338	1.7467200723846	1.6321681414271	1.6303314593445	1.5145001557884	1.5113485307595	1.4947689334622	1.6490185230455	1.5385493051076	1.6757392366329	1.7479184771944	1.7970043377661	1.7045977599345	1.7417648720121
SOFIA	1.2080622681219	1.3102126918387	1.3513881593027	1.6205939859502	1.8199767711963	2.0181177841527	2.3012329931973	2.7115821856181	3.1237832486011	3.2338747752001	3.25657180899	3.3437897032864	3.3099375725055	3.2601193457675	3.2972249973166	3.062422950055	3.0840291805514	3.3421538812605	3.2565910442611	2.9902908992365	2.8743226846007	2.8660563596379	2.8642583891756
ELENA	1.1673276065191	1.1615799965164	1.1315395241153	1.1472445265346	1.1498257839721	1.0810550028019	0.98852040816327	1.067384478684	1.0127079833725	1.0610194291975	0.98462194857309	0.99504165682868	0.98820900213006	0.921715329186867	0.871884211134685	0.857961549994998	0.807997632618406	0.761814487640257	0.783615801253966	0.760188014540287	0.756529983641271	0.726742699330022	0.667026111068322
